branch_id,branch_name,branch_code,address,city,state,zip_code,phone,email,manager_name,manager_id,open_date,total_deposits,total_loans,num_employees,region,branch_type,operating_hours,has_atm,has_drive_thru,square_footage,created_at
BR001,Leemouth Branch,BC0001,56343 Heather Club,South Jerryborough,GA,46145,971-854-3382x541,branch1@bank.com,Tracey Norris,MGR5832,2010-12-09,1666281.96,272664.98,24,South,Full Service,9:00 AM - 5:00 PM,True,False,6809,2025-12-07 14:55:42.662026
BR002,South Sandraberg Branch,BC0002,8028 Reed Crest Suite 919,South Juliastad,IL,38949,+1-893-314-5365x133,branch2@bank.com,Jennifer Schwartz,MGR8293,2019-01-25,12583949.05,91956083.9,10,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,7913,2025-12-07 14:55:42.662578
BR003,South Craigtown Branch,BC0003,3370 Goodwin Underpass Apt. 671,South Jaclyn,MI,63924,6692531217,branch3@bank.com,Jasmine Hammond,MGR7374,2010-09-17,60742007.43,61288935.25,8,Midwest,Commercial,9:00 AM - 5:00 PM,False,False,6591,2025-12-07 14:55:42.663045
BR004,Griffinberg Branch,BC0004,1862 Cameron Throughway,Lake Nicholasmouth,TX,72846,+1-775-586-4740x1925,branch4@bank.com,Jody Rogers,MGR1884,2005-12-22,94717918.11,5783305.25,15,South,Full Service,9:00 AM - 5:00 PM,False,True,6214,2025-12-07 14:55:42.663517
BR005,Peterville Branch,BC0005,43840 Carrie Mountain Apt. 675,Michaelchester,MI,77696,+1-809-241-4250x9563,branch5@bank.com,Gary Morris,MGR3902,2023-03-09,29577028.85,4604270.01,46,Midwest,Commercial,9:00 AM - 5:00 PM,True,False,5244,2025-12-07 14:55:42.663950
BR006,East Darrell Branch,BC0006,99678 Patricia Wall,Jamesstad,GA,70726,001-859-491-9776x385,branch6@bank.com,Micheal Wolfe,MGR3755,2015-02-10,3954904.26,99983625.5,29,South,Full Service,9:00 AM - 5:00 PM,True,False,3602,2025-12-07 14:55:42.664368
BR007,South Heather Branch,BC0007,6287 Chase Valleys,Port Samuelborough,IL,83983,495-653-9450x69895,branch7@bank.com,Cynthia Pham,MGR1389,2021-08-23,4781407.14,36745536.88,44,Midwest,Full Service,9:00 AM - 5:00 PM,True,True,9265,2025-12-07 14:55:42.664790
BR008,New Matthew Branch,BC0008,79394 Christopher Port Apt. 421,Johnnyton,IL,76495,(776)424-2857x4040,branch8@bank.com,Melissa Fields,MGR7653,2021-10-05,11343492.99,42665401.45,5,Midwest,Full Service,9:00 AM - 5:00 PM,True,True,2557,2025-12-07 14:55:42.665217
BR009,East Michealmouth Branch,BC0009,3077 Flores Shores Apt. 906,Katieville,MI,81956,907-223-4615x0411,branch9@bank.com,Kristy Taylor,MGR7077,2010-10-25,107359326.83,3188825.82,15,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,2232,2025-12-07 14:55:42.665652
BR010,Christopherborough Branch,BC0010,29501 Kevin Glens,Thompsonshire,CA,07685,001-955-752-3783x904,branch10@bank.com,Randy Edwards,MGR4830,2024-06-12,13737033.06,6815000.09,36,West,Full Service,9:00 AM - 5:00 PM,False,False,9656,2025-12-07 14:55:42.666069
