transaction_id,account_id,transaction_date,transaction_time,transaction_datetime,transaction_type,amount,description,merchant_name,merchant_category,merchant_id,channel,status,location,reference_number,transaction_category,is_fraudulent,created_at
TXN900006462,ACC5000141,2023-01-01,02:05:00,2023-01-01 02:05:00,PAYMENT,93.09,Subscription,Reed Group,Gas/Automotive,MER29956,Mobile,Completed,"Elizabethburgh, AR",REF108357729,Expense,False,2025-12-07 14:55:41.675850
TXN900000239,ACC5000004,2023-01-01,02:16:00,2023-01-01 02:16:00,DEPOSIT,268.65,Interest Payment,,,,ATM,Completed,Online,REF501902658,Income,False,2025-12-07 14:55:40.311122
TXN900006838,ACC5000148,2023-01-01,03:13:00,2023-01-01 03:13:00,INTEREST,1.99,Dividend Payment,,,,Online,Completed,"Lake Autumn, TX",REF377255013,Income,False,2025-12-07 14:55:41.757617
TXN900001281,ACC5000030,2023-01-01,03:32:00,2023-01-01 03:32:00,WITHDRAWAL,624.28,Cash Withdrawal,Livingston Ltd,Transportation,MER64451,ATM,Completed,Online,REF554810443,Cash,False,2025-12-07 14:55:40.544545
TXN900010718,ACC5000237,2023-01-01,03:49:00,2023-01-01 03:49:00,WITHDRAWAL,456.3,ATM Withdrawal,Hampton-Valdez,Gas/Automotive,MER91082,ATM,Completed,"Lake Jose, AZ",REF604050683,Cash,False,2025-12-07 14:55:42.580961
TXN900003464,ACC5000079,2023-01-01,04:09:00,2023-01-01 04:09:00,DEPOSIT,4108.77,Cash Deposit,,,,ATM,Completed,Online,REF958538383,Income,False,2025-12-07 14:55:41.026853
TXN900010800,ACC5000238,2023-01-01,04:10:00,2023-01-01 04:10:00,WITHDRAWAL,72.75,Cash Withdrawal,Guzman Group,Gas/Automotive,MER83399,ATM,Completed,Online,REF756084755,Cash,False,2025-12-07 14:55:42.598255
TXN900002479,ACC5000059,2023-01-01,05:02:00,2023-01-01 05:02:00,DEPOSIT,1520.11,Dividend,,,,ATM,Completed,Online,REF313867761,Income,False,2025-12-07 14:55:40.816048
TXN900006485,ACC5000141,2023-01-01,05:18:00,2023-01-01 05:18:00,TRANSFER,1599.17,Bill Payment,,,,Branch,Completed,"Cummingsborough, SD",REF378559780,Transfer,False,2025-12-07 14:55:41.680449
TXN900009744,ACC5000219,2023-01-01,05:28:00,2023-01-01 05:28:00,DEPOSIT,1361.54,Dividend,,,,Online,Completed,Online,REF893264863,Income,False,2025-12-07 14:55:42.374000
TXN900010130,ACC5000225,2023-01-01,05:49:00,2023-01-01 05:49:00,WITHDRAWAL,43.56,Cash Withdrawal,Mora LLC,Transportation,MER78287,Mobile,Completed,"West Margaret, AS",REF211271404,Cash,False,2025-12-07 14:55:42.457657
TXN900002499,ACC5000059,2023-01-01,05:50:00,2023-01-01 05:50:00,WITHDRAWAL,421.72,Teller Withdrawal,"Harrison, Smith and Dixon",Online Retail,MER72294,ATM,Completed,"South Karenmouth, CO",REF839170893,Cash,False,2025-12-07 14:55:40.820173
TXN900005411,ACC5000119,2023-01-01,05:54:00,2023-01-01 05:54:00,WITHDRAWAL,384.6,ATM Withdrawal,Cohen-Stevens,Insurance,MER21136,Mobile,Completed,"Kennethland, ND",REF317241211,Cash,False,2025-12-07 14:55:41.448160
TXN900006053,ACC5000133,2023-01-01,06:08:00,2023-01-01 06:08:00,PAYMENT,46.53,Mortgage Payment,Miller PLC,Entertainment,MER64566,Branch,Completed,Online,REF695157666,Expense,False,2025-12-07 14:55:41.588926
TXN900003791,ACC5000089,2023-01-01,06:16:00,2023-01-01 06:16:00,WITHDRAWAL,42.44,Cash Withdrawal,"Martinez, Hudson and Munoz",Groceries,MER75070,Online,Completed,Online,REF196903897,Cash,False,2025-12-07 14:55:41.098572
TXN900004112,ACC5000095,2023-01-01,06:21:00,2023-01-01 06:21:00,WITHDRAWAL,272.73,Teller Withdrawal,"Kelly, Murray and Smith",Education,MER66442,ATM,Completed,"Carlton, VT",REF222373596,Cash,False,2025-12-07 14:55:41.168117
TXN900008411,ACC5000188,2023-01-01,06:24:00,2023-01-01 06:24:00,DEPOSIT,474.86,Interest Payment,,,,ATM,Completed,Online,REF141523282,Income,False,2025-12-07 14:55:42.092402
TXN900004950,ACC5000112,2023-01-01,06:32:00,2023-01-01 06:32:00,TRANSFER,504.38,Bill Payment,,,,ATM,Completed,"Lisashire, PR",REF134086739,Transfer,False,2025-12-07 14:55:41.347335
TXN900008361,ACC5000185,2023-01-01,06:33:00,2023-01-01 06:33:00,DEPOSIT,15.23,Dividend,,,,Online,Completed,"Josephfort, ID",REF211470844,Income,False,2025-12-07 14:55:42.081940
TXN900000642,ACC5000011,2023-01-01,06:39:00,2023-01-01 06:39:00,TRANSFER,226.2,Fund Transfer,,,,Branch,Completed,"Vanceland, NJ",REF227572362,Transfer,False,2025-12-07 14:55:40.402604
TXN900009294,ACC5000209,2023-01-01,06:47:00,2023-01-01 06:47:00,TRANSFER,76.22,Fund Transfer,,,,Online,Completed,"Chambersstad, AL",REF976929617,Transfer,False,2025-12-07 14:55:42.279028
TXN900005717,ACC5000125,2023-01-01,07:00:00,2023-01-01 07:00:00,DEPOSIT,1221.1,Interest Payment,,,,Branch,Completed,"West Steveshire, VA",REF545126826,Income,False,2025-12-07 14:55:41.515331
TXN900005573,ACC5000122,2023-01-01,07:02:00,2023-01-01 07:02:00,PAYMENT,243.39,Utility Bill,"Vega, Harris and Benson",Entertainment,MER99505,ATM,Completed,"Cherylchester, OK",REF516219135,Expense,False,2025-12-07 14:55:41.483561
TXN900009460,ACC5000212,2023-01-01,07:04:00,2023-01-01 07:04:00,WITHDRAWAL,729.29,ATM Withdrawal,Smith Group,Healthcare,MER20992,Online,Completed,"West Joanneton, NJ",REF905351935,Cash,False,2025-12-07 14:55:42.314848
TXN900007035,ACC5000157,2023-01-01,07:10:00,2023-01-01 07:10:00,WITHDRAWAL,292.76,Teller Withdrawal,"Carter, Lewis and Terry",Insurance,MER91823,Phone,Completed,"Port Robert, KY",REF477555948,Cash,False,2025-12-07 14:55:41.801187
TXN900004101,ACC5000094,2023-01-01,07:12:00,2023-01-01 07:12:00,TRANSFER,1277.67,Wire Transfer,,,,Online,Completed,"Lake Jim, MO",REF267840982,Transfer,False,2025-12-07 14:55:41.166158
TXN900009177,ACC5000206,2023-01-01,07:15:00,2023-01-01 07:15:00,DEPOSIT,1710.12,Interest Payment,,,,ATM,Completed,Online,REF403668506,Income,False,2025-12-07 14:55:42.254869
TXN900001556,ACC5000036,2023-01-01,07:16:00,2023-01-01 07:16:00,DEPOSIT,597.65,Dividend,,,,Mobile,Completed,"North Debrachester, CT",REF197857474,Income,False,2025-12-07 14:55:40.606325
TXN900009964,ACC5000223,2023-01-01,07:24:00,2023-01-01 07:24:00,WITHDRAWAL,632.18,Teller Withdrawal,"Blevins, Duncan and Horn",Online Retail,MER60570,ATM,Completed,"East John, MA",REF729678179,Cash,False,2025-12-07 14:55:42.421516
TXN900008090,ACC5000180,2023-01-01,07:31:00,2023-01-01 07:31:00,PAYMENT,812.06,Mortgage Payment,Murray Ltd,Transportation,MER49353,Branch,Completed,"Port Cynthiabury, KY",REF919707906,Expense,False,2025-12-07 14:55:42.023537
TXN900004960,ACC5000113,2023-01-01,07:48:00,2023-01-01 07:48:00,WITHDRAWAL,858.56,Cash Withdrawal,"Stewart, Hall and Clark",Insurance,MER96474,Mobile,Completed,"Martinezshire, OH",REF851521568,Cash,False,2025-12-07 14:55:41.349163
TXN900000942,ACC5000021,2023-01-01,07:50:00,2023-01-01 07:50:00,TRANSFER,4200.5,Fund Transfer,,,,Mobile,Completed,Online,REF526164289,Transfer,False,2025-12-07 14:55:40.468911
TXN900006828,ACC5000148,2023-01-01,07:53:00,2023-01-01 07:53:00,DEPOSIT,162.86,Transfer Received,,,,Online,Completed,"Gregoryville, HI",REF728378396,Income,False,2025-12-07 14:55:41.755934
TXN900010675,ACC5000237,2023-01-01,07:58:00,2023-01-01 07:58:00,WITHDRAWAL,11.5,Cash Withdrawal,Scott Inc,Gas/Automotive,MER13906,Online,Completed,"Heatherville, KY",REF645378361,Cash,False,2025-12-07 14:55:42.571898
TXN900008181,ACC5000182,2023-01-01,08:01:00,2023-01-01 08:01:00,PAYMENT,6.09,Insurance,Combs-Bradford,Transportation,MER13777,Online,Completed,"Burnston, MD",REF799687716,Expense,False,2025-12-07 14:55:42.043909
TXN900008196,ACC5000182,2023-01-01,08:03:00,2023-01-01 08:03:00,WITHDRAWAL,269.14,ATM Withdrawal,Hayes PLC,Education,MER52799,Mobile,Completed,"Jonathanmouth, PW",REF693323022,Cash,False,2025-12-07 14:55:42.046733
TXN900001091,ACC5000023,2023-01-01,08:04:00,2023-01-01 08:04:00,PAYMENT,146.74,Subscription,"Cobb, Hanson and Chavez",Insurance,MER49356,Mobile,Completed,"Popeville, MA",REF147978060,Expense,False,2025-12-07 14:55:40.501668
TXN900001961,ACC5000046,2023-01-01,08:12:00,2023-01-01 08:12:00,WITHDRAWAL,116.31,Teller Withdrawal,Martinez PLC,Transportation,MER91338,ATM,Completed,"Riverashire, PA",REF938511718,Cash,False,2025-12-07 14:55:40.698140
TXN900009289,ACC5000209,2023-01-01,08:14:00,2023-01-01 08:14:00,TRANSFER,1340.78,Account Transfer,,,,Branch,Completed,"West Meganton, DE",REF891351561,Transfer,False,2025-12-07 14:55:42.278413
TXN900009494,ACC5000214,2023-01-01,08:14:00,2023-01-01 08:14:00,TRANSFER,48.29,Wire Transfer,,,,Online,Completed,Online,REF348409642,Transfer,False,2025-12-07 14:55:42.321348
TXN900001116,ACC5000023,2023-01-01,08:16:00,2023-01-01 08:16:00,DEPOSIT,692.63,Transfer Received,,,,Online,Completed,"West Lisa, TN",REF820160169,Income,False,2025-12-07 14:55:40.506487
TXN900003831,ACC5000090,2023-01-01,08:17:00,2023-01-01 08:17:00,WITHDRAWAL,61.92,ATM Withdrawal,Walton-Blair,Restaurant,MER20498,Online,Completed,Online,REF983901883,Cash,False,2025-12-07 14:55:41.107945
TXN900005257,ACC5000117,2023-01-01,08:27:00,2023-01-01 08:27:00,DEPOSIT,527.78,Dividend,,,,Mobile,Completed,"Aaronton, UT",REF741117091,Income,False,2025-12-07 14:55:41.415372
TXN900008737,ACC5000194,2023-01-01,08:29:00,2023-01-01 08:29:00,PAYMENT,0.66,Subscription,"Spencer, Taylor and Sims",Entertainment,MER70975,Branch,Completed,Online,REF498967152,Expense,False,2025-12-07 14:55:42.161707
TXN900003326,ACC5000076,2023-01-01,08:29:00,2023-01-01 08:29:00,WITHDRAWAL,528.95,ATM Withdrawal,Logan-Rice,Online Retail,MER33338,ATM,Completed,"Fowlerland, ID",REF515892751,Cash,False,2025-12-07 14:55:40.994008
TXN900009527,ACC5000214,2023-01-01,08:29:00,2023-01-01 08:29:00,WITHDRAWAL,377.56,Teller Withdrawal,Parsons LLC,Retail,MER19526,Branch,Completed,"New Candace, NM",REF444003485,Cash,False,2025-12-07 14:55:42.327950
TXN900007834,ACC5000169,2023-01-01,08:45:00,2023-01-01 08:45:00,DEPOSIT,2580.96,Cash Deposit,,,,ATM,Completed,"Wagnerstad, MH",REF846271216,Income,False,2025-12-07 14:55:41.968676
TXN900000788,ACC5000016,2023-01-01,08:48:00,2023-01-01 08:48:00,TRANSFER,251.6,Account Transfer,,,,ATM,Completed,"Rodriguezview, NM",REF739750911,Transfer,False,2025-12-07 14:55:40.433853
TXN900002070,ACC5000050,2023-01-01,08:54:00,2023-01-01 08:54:00,TRANSFER,1923.94,Bill Payment,,,,Online,Completed,"Coltonbury, AK",REF158398995,Transfer,False,2025-12-07 14:55:40.724390
TXN900005555,ACC5000122,2023-01-01,09:01:00,2023-01-01 09:01:00,WITHDRAWAL,505.71,Teller Withdrawal,"Davis, Atkins and Sullivan",Transportation,MER86962,Phone,Completed,Online,REF954772900,Cash,False,2025-12-07 14:55:41.479091
TXN900007192,ACC5000159,2023-01-01,09:05:00,2023-01-01 09:05:00,DEPOSIT,1143.79,Salary Deposit,,,,Online,Pending,"Summersport, KY",REF897908769,Income,False,2025-12-07 14:55:41.833234
TXN900002262,ACC5000054,2023-01-01,09:05:00,2023-01-01 09:05:00,DEPOSIT,5028.66,Dividend,,,,Online,Completed,"Lake Lindabury, OR",REF396284956,Income,False,2025-12-07 14:55:40.769697
TXN900005791,ACC5000127,2023-01-01,09:05:00,2023-01-01 09:05:00,DEPOSIT,1604.12,Cash Deposit,,,,ATM,Completed,"Fergusonstad, NH",REF474256340,Income,False,2025-12-07 14:55:41.531934
TXN900010174,ACC5000226,2023-01-01,09:08:00,2023-01-01 09:08:00,WITHDRAWAL,311.86,Cash Withdrawal,Miller-Ball,Travel,MER26578,Online,Completed,"Port Nancyport, CA",REF402149641,Cash,False,2025-12-07 14:55:42.467775
TXN900010845,ACC5000238,2023-01-01,09:22:00,2023-01-01 09:22:00,WITHDRAWAL,177.85,Teller Withdrawal,"Castro, Young and Bates",Entertainment,MER27236,ATM,Completed,"New Jamesborough, NJ",REF739067440,Cash,False,2025-12-07 14:55:42.607487
TXN900006898,ACC5000152,2023-01-01,09:22:00,2023-01-01 09:22:00,PAYMENT,379.7,Utility Bill,Humphrey LLC,Online Retail,MER74003,Phone,Completed,"North Cody, PR",REF819274604,Expense,False,2025-12-07 14:55:41.771280
TXN900007056,ACC5000157,2023-01-01,09:32:00,2023-01-01 09:32:00,WITHDRAWAL,84.98,Teller Withdrawal,Edwards Inc,Healthcare,MER80205,Online,Completed,Online,REF671776543,Cash,False,2025-12-07 14:55:41.805496
TXN900006709,ACC5000145,2023-01-01,09:36:00,2023-01-01 09:36:00,DEPOSIT,605.0,Salary Deposit,,,,Mobile,Completed,"Morganfort, IL",REF209867551,Income,False,2025-12-07 14:55:41.730269
TXN900002177,ACC5000051,2023-01-01,09:38:00,2023-01-01 09:38:00,PAYMENT,50.65,Online Purchase,"Dawson, Edwards and Castaneda",Travel,MER71789,Mobile,Completed,"Burgessborough, HI",REF617187507,Expense,False,2025-12-07 14:55:40.748719
TXN900007490,ACC5000163,2023-01-01,09:38:00,2023-01-01 09:38:00,WITHDRAWAL,261.61,ATM Withdrawal,King-Hahn,Utilities,MER29892,Mobile,Completed,"New Lee, MT",REF704391021,Cash,False,2025-12-07 14:55:41.898813
TXN900010361,ACC5000231,2023-01-01,09:41:00,2023-01-01 09:41:00,TRANSFER,467.15,Bill Payment,,,,Branch,Completed,"Port Danielton, MH",REF366407715,Transfer,False,2025-12-07 14:55:42.506961
TXN900002311,ACC5000056,2023-01-01,09:42:00,2023-01-01 09:42:00,DEPOSIT,528.38,Dividend,,,,Mobile,Completed,Online,REF628994865,Income,False,2025-12-07 14:55:40.780680
TXN900006896,ACC5000152,2023-01-01,09:43:00,2023-01-01 09:43:00,WITHDRAWAL,831.34,Cash Withdrawal,"Howard, Spears and Shea",Restaurant,MER65652,Online,Completed,"Velezburgh, MD",REF740958232,Cash,False,2025-12-07 14:55:41.770819
TXN900004470,ACC5000102,2023-01-01,09:46:00,2023-01-01 09:46:00,WITHDRAWAL,273.32,Cash Withdrawal,Conley Inc,Gas/Automotive,MER91376,ATM,Completed,Online,REF577411727,Cash,False,2025-12-07 14:55:41.244388
TXN900008478,ACC5000189,2023-01-01,09:50:00,2023-01-01 09:50:00,TRANSFER,1772.73,Peer-to-Peer Transfer,,,,ATM,Completed,"Meyersview, RI",REF113062527,Transfer,False,2025-12-07 14:55:42.107401
